obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Vuzenica,Koroška,2017,Ženske," Višješolska, visokošolska - Skupaj",261,1333,19.58
Vuzenica,Koroška,2017,Ženske, Visokošolska 1. stopnje ipd.,145,1333,10.88
Vuzenica,Koroška,2017,Ženske, Visokošolska 2. stopnje ipd.,111,1333,8.33
Vuzenica,Koroška,2017,Ženske, Visokošolska 3. stopnje ipd.,5,1333,0.38
Vuzenica,Koroška,2018,Moški, Osnovnošolska ali manj - Skupaj,253,1348,18.77
Vuzenica,Koroška,2018,Moški, Srednješolska - Skupaj,740,1348,54.9
Vuzenica,Koroška,2018,Moški," Višješolska, visokošolska - Skupaj",152,1348,11.28
Vuzenica,Koroška,2018,Moški, Visokošolska 1. stopnje ipd.,82,1348,6.08
Vuzenica,Koroška,2018,Moški, Visokošolska 2. stopnje ipd.,63,1348,4.67
Vuzenica,Koroška,2018,Moški, Visokošolska 3. stopnje ipd.,7,1348,0.52
Vuzenica,Koroška,2018,Ženske, Osnovnošolska ali manj - Skupaj,302,1340,22.54
Vuzenica,Koroška,2018,Ženske, Srednješolska - Skupaj,567,1340,42.31
Vuzenica,Koroška,2018,Ženske," Višješolska, visokošolska - Skupaj",263,1340,19.63
Vuzenica,Koroška,2018,Ženske, Visokošolska 1. stopnje ipd.,145,1340,10.82
Vuzenica,Koroška,2018,Ženske, Visokošolska 2. stopnje ipd.,110,1340,8.21
Vuzenica,Koroška,2018,Ženske, Visokošolska 3. stopnje ipd.,8,1340,0.6
Vuzenica,Koroška,2019,Moški, Osnovnošolska ali manj - Skupaj,230,1336,17.22
Vuzenica,Koroška,2019,Moški, Srednješolska - Skupaj,759,1336,56.81
Vuzenica,Koroška,2019,Moški," Višješolska, visokošolska - Skupaj",149,1336,11.15
Vuzenica,Koroška,2019,Moški, Visokošolska 1. stopnje ipd.,81,1336,6.06
Vuzenica,Koroška,2019,Moški, Visokošolska 2. stopnje ipd.,61,1336,4.57
Vuzenica,Koroška,2019,Moški, Visokošolska 3. stopnje ipd.,7,1336,0.52
